Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta,Wins,Losses,AveragePLPercent
2005-01-04 00:00:00,1188.05,987144.6506820000000175241439,999747.1506820000000175241439,1,71,283290.0,-22.032365000000002,0,0,nan
2005-01-05 00:00:00,1183.75,980068.1051130000000171094143,999540.6051130000000171094143,2,129,435050.0,-40.490757,0,0,nan
2005-01-06 00:00:00,1187.9,990397.0435490000000169352745,999537.0435490000000169352745,3,130,449022.500,-34.569829,0,0,nan
2005-01-07 00:00:00,1186.2,989084.5435490000000169352745,999537.0435490000000169352745,3,130,447710.000,-35.326248,0,0,nan
2005-01-10 00:00:00,1190.25,1003304.543549000000016935274,999537.0435490000000169352745,3,130,461930.00,-29.880530000000004,0,0,nan
2005-01-11 00:00:00,1182.99,994299.5435490000000169352745,999537.0435490000000169352745,3,130,452925.000,-33.781797000000005,0,0,nan
2005-01-12 00:00:00,1187.7,1002332.043549000000016935274,999537.0435490000000169352745,3,130,460957.500,-28.823181999999996,0,0,nan
2005-01-13 00:00:00,1177.45,989304.5435490000000169352745,999537.0435490000000169352745,3,130,447930.00,-36.279954,0,0,nan
2005-01-14 00:00:00,1184.5,1000249.543549000000016935274,999537.0435490000000169352745,3,130,458875.00,-29.162124000000002,0,0,nan
2005-01-18 00:00:00,1196.0,1016665.075301750000011047348,1008677.575301750000011047348,1,71,303880.00,-12.016749999999998,2,0,62.92583857442348008385744235
2005-01-19 00:00:00,1184.65,997126.525687749999991460470,1008439.025687749999991460470,2,138,437675.00,-42.615355,2,0,nan
2005-01-20 00:00:00,1175.4,980922.283715749999990940466,1008424.783715749999990940466,3,142,430625.00,-55.219152,2,0,nan
2005-01-21 00:00:00,1167.85,964084.481378249999990792673,1008406.981378249999990792673,4,147,422955.00,-67.67587,2,0,nan
2005-01-24 00:00:00,1163.75,962664.858352249999990490891,1008399.858352249999990490891,5,149,430802.500,-72.49989200000002,2,0,nan
2005-01-25 00:00:00,1168.4,977739.858352249999990490891,1008399.858352249999990490891,5,149,445877.500,-61.840357999999995,2,0,nan
2005-01-26 00:00:00,1174.05,992432.358352249999990490891,1008399.858352249999990490891,5,149,460570.00,-50.412217,2,0,nan
2005-01-27 00:00:00,1174.55,998637.358352249999990490891,1008399.858352249999990490891,5,149,466775.000,-46.77830799999999,2,0,nan
2005-01-28 00:00:00,1171.35,1001194.858352249999990490891,1008399.858352249999990490891,5,149,469332.500,-49.742582,2,0,nan
2005-01-31 00:00:00,1181.25,1016551.447026499999990001299,1009336.447026499999990001299,3,142,465342.500,-31.866102999999995,4,0,59.1017488076311605723370429
2005-02-01 00:00:00,1189.41,1032012.057964249999986172667,1026317.057964249999986172667,1,67,158790.00,-12.587625,6,0,69.26473159643294282217170835
2005-02-02 00:00:00,1193.19,1034878.456569249999975390607,1033618.456569249999975390607,1,84,306180.00,-22.367772,7,0,53.48837209302325581395348837
2005-02-03 00:00:00,1189.89,1032185.324668249999976232799,1033465.324668249999976232799,2,127,460375.00,-35.90620199999999,7,0,nan
2005-02-04 00:00:00,1203.03,1050101.763308249999976151655,1033461.763308249999976151655,3,128,481920.00,-24.8128,7,0,nan
2005-02-07 00:00:00,1201.72,1048821.763308249999976151655,1033461.763308249999976151655,3,128,480640.00,-25.980672000000002,7,0,nan
2005-02-08 00:00:00,1202.3,1052661.763308249999976151655,1033461.763308249999976151655,3,128,484480.00,-24.503168,7,0,nan
2005-02-09 00:00:00,1191.99,1041461.763308249999976151655,1033461.763308249999976151655,3,128,473280.000,-31.245952000000003,7,0,nan
2005-02-10 00:00:00,1197.01,1049461.763308249999976151655,1033461.763308249999976151655,3,128,481280.00,-25.959808,7,0,nan
2005-02-11 00:00:00,1205.3,1059822.227468249999986493747,1059822.227468249999986493747,0,0,0,0,10,0,57.02207841644461362771221927
2005-02-14 00:00:00,1206.14,1061149.177742249999965462592,1059409.177742249999965462592,1,116,317260.00,-31.552348,10,0,nan
2005-02-15 00:00:00,1210.12,1072252.660274249999957429935,1059202.660274249999957429935,2,174,487200.00,-39.003492,10,0,nan
2005-02-16 00:00:00,1210.34,1071382.660274249999957429935,1059202.660274249999957429935,2,174,486330.00,-37.251486,10,0,nan
2005-02-17 00:00:00,1200.75,1058332.660274249999957429935,1059202.660274249999957429935,2,174,473280.00,-51.339743999999996,10,0,nan
2005-02-18 00:00:00,1201.59,1064444.100189249999957485926,1059199.100189249999957485926,3,175,481240.00,-45.76782299999999,10,0,nan
2005-02-22 00:00:00,1184.16,1010339.100189249999957485926,1059199.100189249999957485926,3,175,427135.00,-83.484228,10,0,nan
2005-02-23 00:00:00,1190.8,1042924.929717249999953754269,1059159.929717249999953754269,4,186,485060.00,-66.295244,10,0,nan
2005-02-24 00:00:00,1200.2,1071892.429717249999953754269,1059159.929717249999953754269,4,186,514027.500,-44.070038,10,0,nan
2005-02-25 00:00:00,1211.37,1087012.500530499999970679425,1087012.500530499999970679425,0,0,0,0,14,0,60.01597687157638466220328665
2005-02-28 00:00:00,1200.2,1077459.114314499999980334621,1086699.114314499999980334621,1,88,313720.00,-29.300216,14,0,nan
2005-03-01 00:00:00,1210.41,1085157.873046499999989400464,1086510.373046499999989400464,2,141,491207.500,-38.51262,14,0,nan
2005-03-02 00:00:00,1210.08,1082555.373046499999989400464,1086510.373046499999989400464,2,141,488605.00,-40.120668,14,0,nan
2005-03-03 00:00:00,1210.47,1080615.373046499999989400464,1086510.373046499999989400464,2,141,486665.00,-39.870624,14,0,nan
2005-03-04 00:00:00,1222.12,1101980.373046499999989400464,1086510.373046499999989400464,2,141,508030.000,-27.772941000000003,14,0,nan
2005-03-07 00:00:00,1225.31,1103127.873046499999989400464,1086510.373046499999989400464,2,141,509177.500,-25.273374,14,0,nan
2005-03-08 00:00:00,1219.43,1099162.873046499999989400464,1086510.373046499999989400464,2,141,505212.500,-28.044758,14,0,nan
2005-03-09 00:00:00,1207.01,1082512.873046499999989400464,1086510.373046499999989400464,2,141,488562.500,-39.430148,14,0,nan
2005-03-10 00:00:00,1209.25,1087225.373046499999989400464,1086510.373046499999989400464,2,141,493275.00,-35.940068,14,0,nan
2005-03-11 00:00:00,1200.08,1076210.373046499999989400464,1086510.373046499999989400464,2,141,482260.00,-44.431347,14,0,nan
2005-03-14 00:00:00,1206.83,1091455.373046499999989400464,1086510.373046499999989400464,2,141,497505.00,-34.990623,14,0,nan
2005-03-15 00:00:00,1197.75,1073612.873046499999989400464,1086510.373046499999989400464,2,141,479662.500,-45.11601,14,0,nan
2005-03-16 00:00:00,1188.07,1054369.312043499999989482063,1086506.812043499999989482063,3,142,463132.500,-58.537064,14,0,nan
2005-03-17 00:00:00,1190.21,1059772.950003499999989120539,1086485.450003499999989120539,4,148,479537.500,-53.85798,14,0,nan
2005-03-18 00:00:00,1189.65,1058557.950003499999989120539,1086485.450003499999989120539,4,148,478322.500,-54.440684000000005,14,0,nan
2005-03-21 00:00:00,1183.78,1050835.450003499999989120539,1086485.450003499999989120539,4,148,470600.00,-60.810964000000006,14,0,nan
2005-03-22 00:00:00,1171.71,1009292.950003499999989120539,1086485.450003499999989120539,4,148,429057.500,-83.657225,14,0,nan
2005-03-23 00:00:00,1172.53,1013348.773921499999988160567,1086446.273921499999988160567,5,159,458232.500,-84.175998,14,0,nan
2005-03-24 00:00:00,1171.42,1019748.773921499999988160567,1086446.273921499999988160567,5,159,464632.500,-82.16300100000001,14,0,nan
2005-03-28 00:00:00,1174.28,1039063.773921499999988160567,1086446.273921499999988160567,5,159,483947.500,-73.80371199999999,14,0,nan
2005-03-29 00:00:00,1165.36,995546.273921499999988160567,1086446.273921499999988160567,5,159,440430.000,-96.99453199999999,14,0,nan
2005-03-30 00:00:00,1181.41,1065833.358987499999988468602,1086973.358987499999988468602,5,154,504720.00,-55.349596,15,0,52.94117647058823529411764706
2005-03-31 00:00:00,1180.59,1062280.858987499999988468602,1086973.358987499999988468602,5,154,501167.500,-58.005741,15,0,nan
2005-04-01 00:00:00,1172.92,1042008.358987499999988468602,1086973.358987499999988468602,5,154,480895.000,-71.43552299999999,15,0,nan
2005-04-04 00:00:00,1176.12,1059385.858987499999988468602,1086973.358987499999988468602,5,154,498272.500,-60.373377000000005,15,0,nan
2005-04-05 00:00:00,1181.39,1085221.800011749999988364124,1087219.300011749999988364124,4,153,518352.500,-43.809666,16,0,50.51020408163265306122448980
2005-04-06 00:00:00,1184.07,1101455.491118999999986316496,1097275.491118999999986316496,1,88,327140.000,-24.162512000000003,19,0,52.71159874608150470219435737
