Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta,Wins,Losses
2005-01-04 00:00:00,1188.05,997743.8735740000000049576556,999903.8735740000000049576556,1,27,192780.00,-4.837698,0,0
2005-01-05 00:00:00,1183.75,993389.0231020000000015102159,999854.0231020000000015102159,2,41,288435.00,-8.19877,0,0
2005-01-06 00:00:00,1187.9,998530.4618440000000014755698,999850.4618440000000014755698,3,42,300615.000,-7.056756,0,0
2005-01-07 00:00:00,1186.2,998845.4618440000000014755698,999850.4618440000000014755698,3,42,300930.00,-7.232232,0,0
2005-01-10 00:00:00,1190.25,1001890.461844000000001475570,999850.4618440000000014755698,3,42,303975.000,-6.154302,0,0
2005-01-11 00:00:00,1182.99,1000525.461844000000001475570,999850.4618440000000014755698,3,42,302610.00,-6.696816,0,0
2005-01-12 00:00:00,1187.7,1002310.461844000000001475570,999850.4618440000000014755698,3,42,304395.000,-5.3303460000000005,0,0
2005-01-13 00:00:00,1177.45,1000000.461844000000001475570,999850.4618440000000014755698,3,42,302085.000,-7.024205999999999,0,0
2005-01-14 00:00:00,1184.5,1003465.461844000000001475570,999850.4618440000000014755698,3,42,305550.00,-5.604648,0,0
2005-01-18 00:00:00,1196.0,1007035.461844000000001475570,999850.4618440000000014755698,3,42,309120.00,-3.9164580000000004,0,0
2005-01-19 00:00:00,1184.65,1004305.461844000000001475570,999850.4618440000000014755698,3,42,306390.00,-5.513382,0,0
2005-01-20 00:00:00,1175.4,1000525.461844000000001475570,999850.4618440000000014755698,3,42,302610.00,-7.125132000000001,0,0
2005-01-21 00:00:00,1167.85,998005.4618440000000014755698,999850.4618440000000014755698,3,42,300090.00,-8.644482,0,0
2005-01-24 00:00:00,1163.75,998215.4618440000000014755698,999850.4618440000000014755698,3,42,300300.00,-8.834364,0,0
2005-01-25 00:00:00,1168.4,1001995.461844000000001475570,999850.4618440000000014755698,3,42,304080.00,-7.261716,0,0
2005-01-26 00:00:00,1174.05,1004725.461844000000001475570,999850.4618440000000014755698,3,42,306810.00,-5.9319120000000005,0,0
2005-01-27 00:00:00,1174.55,1006300.461844000000001475570,999850.4618440000000014755698,3,42,308385.000,-5.218332,0,0
2005-01-28 00:00:00,1171.35,1006864.999856499999999481787,1006864.999856499999999481787,0,0,0,0,3,0
2005-01-31 00:00:00,1181.25,1008260.233251999999999792834,1006790.233251999999999792834,1,21,194775.00,-2.3654610000000003,3,0
2005-02-01 00:00:00,1189.41,1011091.063621499999996000696,1006751.063621499999996000696,2,32,303162.500,-3.3133869999999996,3,0
2005-02-02 00:00:00,1193.19,1011663.563621499999996000696,1006751.063621499999996000696,2,32,303735.000,-2.902653,3,0
2005-02-03 00:00:00,1189.89,1011231.063621499999996000696,1006751.063621499999996000696,2,32,303302.500,-3.0954759999999997,3,0
2005-02-04 00:00:00,1203.03,1013668.563621499999996000696,1006751.063621499999996000696,2,32,305740.000,-1.9848450000000002,3,0
2005-02-07 00:00:00,1201.72,1013721.063621499999996000696,1006751.063621499999996000696,2,32,305792.500,-1.996959,3,0
2005-02-08 00:00:00,1202.3,1014153.563621499999996000696,1006751.063621499999996000696,2,32,306225.000,-1.7827330000000001,3,0
2005-02-09 00:00:00,1191.99,1013336.063621499999996000696,1006751.063621499999996000696,2,32,305407.500,-2.351324,3,0
2005-02-10 00:00:00,1197.01,1014063.563621499999996000696,1006751.063621499999996000696,2,32,306135.000,-1.9602940000000002,3,0
2005-02-11 00:00:00,1205.3,1015036.063621499999996000696,1006751.063621499999996000696,2,32,307107.500,-1.698874,3,0
2005-02-14 00:00:00,1206.14,1015041.063621499999996000696,1006751.063621499999996000696,2,32,307112.500,-1.4336799999999998,3,0
2005-02-15 00:00:00,1210.12,1015443.563621499999996000696,1006751.063621499999996000696,2,32,307515.000,-1.4069989999999999,3,0
2005-02-16 00:00:00,1210.34,1015603.563621499999996000696,1006751.063621499999996000696,2,32,307675.000,-1.312247,3,0
2005-02-17 00:00:00,1200.75,1015143.563621499999996000696,1006751.063621499999996000696,2,32,307215.000,-1.7171500000000002,3,0
2005-02-18 00:00:00,1201.59,1015603.563621499999996000696,1006751.063621499999996000696,2,32,307675.000,-1.525246,3,0
2005-02-22 00:00:00,1184.16,1013698.563621499999996000696,1006751.063621499999996000696,2,32,305770.000,-2.42326,3,0
2005-02-23 00:00:00,1190.8,1015011.063621499999996000696,1006751.063621499999996000696,2,32,307082.500,-1.826629,3,0
2005-02-24 00:00:00,1200.2,1016056.063621499999996000696,1006751.063621499999996000696,2,32,308127.500,-1.2134559999999999,3,0
2005-02-25 00:00:00,1211.37,1016731.194209249999996114156,1016731.194209249999996114156,0,0,0,0,5,0
2005-02-28 00:00:00,1200.2,1014461.508973249999992827242,1016631.508973249999992827242,1,28,199850.000,-5.19064,5,0
2005-03-01 00:00:00,1210.41,1017234.547205249999993537103,1016574.547205249999993537103,2,44,302560.00,-6.458124,5,0
2005-03-02 00:00:00,1210.08,1015434.547205249999993537103,1016574.547205249999993537103,2,44,300760.00,-6.908224,5,0
2005-03-03 00:00:00,1210.47,1015044.547205249999993537103,1016574.547205249999993537103,2,44,300370.000,-6.908728,5,0
2005-03-04 00:00:00,1222.12,1020894.547205249999993537103,1016574.547205249999993537103,2,44,306220.00,-4.964788,5,0
2005-03-07 00:00:00,1225.31,1022244.547205249999993537103,1016574.547205249999993537103,2,44,307570.000,-4.347472,5,0
2005-03-08 00:00:00,1219.43,1021284.547205249999993537103,1016574.547205249999993537103,2,44,306610.000,-4.7849520000000005,5,0
2005-03-09 00:00:00,1207.01,1017174.547205249999993537103,1016574.547205249999993537103,2,44,302500.00,-6.582008,5,0
2005-03-10 00:00:00,1209.25,1018464.547205249999993537103,1016574.547205249999993537103,2,44,303790.000,-6.0355240000000006,5,0
2005-03-11 00:00:00,1200.08,1015874.547205249999993537103,1016574.547205249999993537103,2,44,301200.0,-7.49676,5,0
2005-03-14 00:00:00,1206.83,1018794.547205249999993537103,1016574.547205249999993537103,2,44,304120.0,-5.8377040000000004,5,0
2005-03-15 00:00:00,1197.75,1016374.547205249999993537103,1016574.547205249999993537103,2,44,301700.00,-7.274044,5,0
2005-03-16 00:00:00,1188.07,1011104.547205249999993537103,1016574.547205249999993537103,2,44,296430.000,-9.691696,5,0
2005-03-17 00:00:00,1190.21,1014074.547205249999993537103,1016574.547205249999993537103,2,44,299400.00,-8.383156,5,0
2005-03-18 00:00:00,1189.65,1014684.547205249999993537103,1016574.547205249999993537103,2,44,300010.000,-8.37562,5,0
2005-03-21 00:00:00,1183.78,1013914.547205249999993537103,1016574.547205249999993537103,2,44,299240.0,-9.198472,5,0
2005-03-22 00:00:00,1171.71,1004634.547205249999993537103,1016574.547205249999993537103,2,44,289960.00,-12.880464,5,0
