Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta,Wins,Losses
2005-01-04 00:00:00,1188.05,991768.5870700000000113050191,999861.0870700000000113050191,1,39,188760.0,-13.771367999999999,0,0
2005-01-05 00:00:00,1183.75,982721.7340300000000183899828,999754.2340300000000183899828,2,69,288120.0,-25.023834,0,0
2005-01-06 00:00:00,1187.9,990870.6724660000000182158430,999750.6724660000000182158430,3,70,299912.500,-21.766151,0,0
2005-01-07 00:00:00,1186.2,991148.1724660000000182158430,999750.6724660000000182158430,3,70,300190.000,-22.115282999999998,0,0
2005-01-10 00:00:00,1190.25,1000608.172466000000018215843,999750.6724660000000182158430,3,70,309650.00,-18.999760000000002,0,0
2005-01-11 00:00:00,1182.99,992973.1724660000000182158430,999750.6724660000000182158430,3,70,302015.000,-21.733315,0,0
2005-01-12 00:00:00,1187.7,998915.6724660000000182158430,999750.6724660000000182158430,3,70,307957.500,-18.764742,0,0
2005-01-13 00:00:00,1177.45,988798.1724660000000182158430,999750.6724660000000182158430,3,70,297840.00,-23.546794000000002,0,0
2005-01-14 00:00:00,1184.5,997723.1724660000000182158430,999750.6724660000000182158430,3,70,306765.00,-19.157296000000002,0,0
2005-01-18 00:00:00,1196.0,1011565.672466000000018215843,999750.6724660000000182158430,3,70,320607.500,-12.819886,0,0
2005-01-19 00:00:00,1184.65,1000533.172466000000018215843,999750.6724660000000182158430,3,70,309575.00,-18.848499999999998,0,0
2005-01-20 00:00:00,1175.4,990488.1724660000000182158430,999750.6724660000000182158430,3,70,299530.00,-23.729049,0,0
2005-01-21 00:00:00,1167.85,980470.6724660000000182158430,999750.6724660000000182158430,3,70,289512.500,-28.434678,0,0
2005-01-24 00:00:00,1163.75,979488.1724660000000182158430,999750.6724660000000182158430,3,70,288530.000,-30.072055000000002,0,0
2005-01-25 00:00:00,1168.4,989194.6107235000000184044210,999747.1107235000000184044210,4,71,302832.500,-25.854325,0,0
2005-01-26 00:00:00,1174.05,998202.1107235000000184044210,999747.1107235000000184044210,4,71,311840.00,-21.327748999999997,0,0
2005-01-27 00:00:00,1174.55,1001649.610723500000018404421,999747.1107235000000184044210,4,71,315287.500,-19.690572999999997,0,0
2005-01-28 00:00:00,1171.35,1001702.991409750000016520843,1001525.491409750000016520843,1,1,4770.00,-0.168343,2,1
2005-01-31 00:00:00,1181.25,1006098.600025750000028557096,1001301.100025750000028557096,2,64,207840.000,-14.642078999999999,2,1
2005-02-01 00:00:00,1189.41,1012871.165005750000048356796,1001158.665005750000048356796,3,104,306555.000,-19.036945,2,1
2005-02-02 00:00:00,1193.19,1016923.665005750000048356796,1001158.665005750000048356796,3,104,310607.500,-16.539936,2,1
2005-02-03 00:00:00,1189.89,1014763.665005750000048356796,1001158.665005750000048356796,3,104,308447.500,-17.874511,2,1
2005-02-04 00:00:00,1203.03,1021966.165005750000048356796,1001158.665005750000048356796,3,104,315650.000,-12.193919000000001,2,1
2005-02-07 00:00:00,1201.72,1020618.665005750000048356796,1001158.665005750000048356796,3,104,314302.500,-12.363114,2,1
2005-02-08 00:00:00,1202.3,1024058.665005750000048356796,1001158.665005750000048356796,3,104,317742.500,-11.513493,2,1
2005-02-09 00:00:00,1191.99,1019061.165005750000048356796,1001158.665005750000048356796,3,104,312745.000,-14.852857999999998,2,1
2005-02-10 00:00:00,1197.01,1021221.165005750000048356796,1001158.665005750000048356796,3,104,314905.00,-12.494463,2,1
2005-02-11 00:00:00,1205.3,1024073.665005750000048356796,1001158.665005750000048356796,3,104,317757.500,-9.778675,2,1
2005-02-14 00:00:00,1206.14,1025618.665005750000048356796,1001158.665005750000048356796,3,104,319302.500,-8.852698,2,1
2005-02-15 00:00:00,1210.12,1026451.165005750000048356796,1001158.665005750000048356796,3,104,320135.000,-7.932828000000001,2,1
2005-02-16 00:00:00,1210.34,1027133.665005750000048356796,1001158.665005750000048356796,3,104,320817.500,-7.511402,2,1
2005-02-17 00:00:00,1200.75,1025833.665005750000048356796,1001158.665005750000048356796,3,104,319517.500,-9.480751000000001,2,1
2005-02-18 00:00:00,1201.59,1027446.165005750000048356796,1001158.665005750000048356796,3,104,321130.000,-8.335291000000002,2,1
2005-02-22 00:00:00,1184.16,1021931.165005750000048356796,1001158.665005750000048356796,3,104,315615.00,-14.017979,2,1
2005-02-23 00:00:00,1190.8,1025516.165005750000048356796,1001158.665005750000048356796,3,104,319200.000,-10.275809,2,1
2005-02-24 00:00:00,1200.2,1026786.165005750000048356796,1001158.665005750000048356796,3,104,320470.000,-6.949536999999999,2,1
2005-02-25 00:00:00,1211.37,1028904.084134250000052368534,1028904.084134250000052368534,0,0,0,0,5,1
2005-02-28 00:00:00,1200.2,1022824.656542250000048177582,1028704.656542250000048177582,1,56,199640.00,-18.645592,5,1
2005-03-01 00:00:00,1210.41,1027684.638394250000051677318,1028587.138394250000051677318,2,89,310217.500,-24.330172,5,1
2005-03-02 00:00:00,1210.08,1026052.138394250000051677318,1028587.138394250000051677318,2,89,308585.00,-25.346987999999996,5,1
2005-03-03 00:00:00,1210.47,1024832.138394250000051677318,1028587.138394250000051677318,2,89,307365.00,-25.19152,5,1
2005-03-04 00:00:00,1222.12,1038337.138394250000051677318,1028587.138394250000051677318,2,89,320870.000,-17.547353,5,1
2005-03-07 00:00:00,1225.31,1039054.638394250000051677318,1028587.138394250000051677318,2,89,321587.500,-15.966629999999999,5,1
2005-03-08 00:00:00,1219.43,1036549.638394250000051677318,1028587.138394250000051677318,2,89,319082.500,-17.718398,5,1
2005-03-09 00:00:00,1207.01,1026019.638394250000051677318,1028587.138394250000051677318,2,89,308552.500,-24.915892,5,1
2005-03-10 00:00:00,1209.25,1029002.138394250000051677318,1028587.138394250000051677318,2,89,311535.00,-22.7085,5,1
2005-03-11 00:00:00,1200.08,1022047.138394250000051677318,1028587.138394250000051677318,2,89,304580.00,-28.074471000000003,5,1
