,maxDrawDown,averagePLDay,cumulativePL
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=27,16057344.64493425376713275909423828125,3208.65153520792546260054223239421844482421875,22334511.2640134133398532867431640625
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=48,5347982.06315825320780277252197265625,1419.36097702398956243996508419513702392578125,9980411.36189244128763675689697265625
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=27,13439391.760209746658802032470703125,2664.92485730644739305716939270496368408203125,18603705.66602136194705963134765625
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=20,7593757.2597682513296604156494140625,3648.6693083291784205357544124126434326171875,25362244.5803378187119960784912109375
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=41,3637553.1491502500139176845550537109375,485.6815268284959756783791817724704742431640625,3508024.8288970752619206905364990234375
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=34,15854543.99887649714946746826171875,6098.2938658593238869798369705677032470703125,42266952.744631998240947723388671875
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=34,25511221.485432751476764678955078125,6850.6833064539323459030129015445709228515625,47389231.482216112315654754638671875
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=20,19404099.16700001060962677001953125,9539.973706794038662337698042392730712890625,65907944.206230215728282928466796875
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=48,2130420.9932315000332891941070556640625,313.38177216487548548684571869671344757080078125,2331303.7142850602976977825164794921875
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=27,14910323.4075392447412014007568359375,7266.0700946981096421950496733188629150390625,50159624.2203154861927032470703125
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=27,7593757.2597682513296604156494140625,2639.79671984473179691121913492679595947265625,18387573.3259018175303936004638671875
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=41,8898709.5327604971826076507568359375,3237.4928776275673953932709991931915283203125,22528450.4882800579071044921875
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=34,12308211.856230996549129486083984375,2549.04672139774038441828452050685882568359375,17678552.1465431153774261474609375
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=20,16003198.87767900340259075164794921875,2560.51172009668107421020977199077606201171875,17707717.1675111614167690277099609375
