,maxDrawDown,averagePLDay,cumulativePL
strategy.optimalDTE=15,88393641.20309121906757354736328125,45131.647172853190568275749683380126953125,309099517.843655526638031005859375
strategy.optimalDTE=6,85707032.01736454665660858154296875,55338.1318631916874437592923641204833984375,382760570.49336063861846923828125
strategy.optimalDTE=17,78978849.884107291698455810546875,35956.058991924204747192561626434326171875,247492322.044369995594024658203125
strategy.optimalDTE=13,150398928.7916400134563446044921875,61235.4258531105369911529123783111572265625,419784226.401427805423736572265625
strategy.optimalDTE=12,107069330.7410267889499664306640625,48641.205906826697173528373241424560546875,334926847.6340568065643310546875
strategy.optimalDTE=7,75342203.10100696980953216552734375,53058.5217085092226625420153141021728515625,365669686.328620016574859619140625
strategy.optimalDTE=16,75716979.41731226444244384765625,37862.8670451139696524478495121002197265625,261042366.31740081310272216796875
strategy.optimalDTE=14,126375458.120572388172149658203125,61547.2789520124861155636608600616455078125,420660878.848510563373565673828125
strategy.optimalDTE=10,75282998.01107226312160491943359375,50937.960771830868907272815704345703125,349059148.632590770721435546875
strategy.optimalDTE=9,74099553.5530227720737457275390625,49302.94412877786089666187763214111328125,338829200.67973196506500244140625
strategy.optimalDTE=18,86079001.5453595221042633056640625,50525.355395900071016512811183929443359375,348121145.49515473842620849609375
strategy.optimalDTE=8,79968056.7377397716045379638671875,52816.0140587277346639893949031829833984375,362690745.76973545551300048828125
strategy.optimalDTE=19,77219620.471204340457916259765625,35865.87427287732134573161602020263671875,246672807.9636228084564208984375
strategy.optimalDTE=11,96850843.05324852466583251953125,51567.0471435166036826558411121368408203125,354355697.84011828899383544921875
