,maxDrawDown,averagePLDay,cumulativePL
strategy.optimalDTE=24,46885063.299696736037731170654296875,24315.6357292683678679168224334716796875,166465225.470510303974151611328125
strategy.optimalDTE=15,43530057.4528999626636505126953125,25627.81352633335700375027954578399658203125,175169223.4155324995517730712890625
strategy.optimalDTE=22,42577828.60989998281002044677734375,23913.8541257075485191307961940765380859375,164710005.796987473964691162109375
strategy.optimalDTE=21,41401832.955599986016750335693359375,24197.453589204596937634050846099853515625,165455249.372047483921051025390625
strategy.optimalDTE=16,43530057.4528999626636505126953125,25627.81352633335700375027954578399658203125,175169223.4155324995517730712890625
strategy.optimalDTE=23,44264765.090400002896785736083984375,23384.247898519519367255270481109619140625,160412597.261621057987213134765625
strategy.optimalDTE=19,43530057.4528999626636505126953125,25627.81352633335700375027954578399658203125,175169223.4155324995517730712890625
strategy.optimalDTE=18,43530057.4528999626636505126953125,25627.81352633335700375027954578399658203125,175169223.4155324995517730712890625
strategy.optimalDTE=17,43530057.4528999626636505126953125,25627.81352633335700375027954578399658203125,175169223.4155324995517730712890625
strategy.optimalDTE=20,43530057.4528999626636505126953125,25652.2754692681482993066310882568359375,175430380.1853287518024444580078125
