Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta
1994-08-18 00:00:00,463.17,316640.8867477500000679136816,315882.0367477500000679136816,5,14,154998.2000,2.956645
1994-08-19 00:00:00,463.68,316857.5867477500000679136816,315882.0367477500000679136816,5,14,155824.2000,3.262161
1994-08-22 00:00:00,462.31,317466.2942563600000680222228,316374.1942563600000680222228,4,11,120085.9000,1.818229
1994-08-23 00:00:00,464.51,316896.4161563600000681415940,316369.5661563600000681415940,5,14,154579.8000,3.1422060000000003
1994-08-24 00:00:00,469.03,314791.5661563600000681415940,316369.5661563600000681415940,5,14,164902.7000,5.547369
1994-08-25 00:00:00,468.08,315608.5161563600000681415940,316369.5661563600000681415940,5,14,162396.6000,5.024053
1994-08-26 00:00:00,473.8,310435.1161563600000681415940,316369.5661563600000681415940,5,14,177756.600,7.819214999999999
1994-08-29 00:00:00,474.59,310844.1661563600000681415940,316369.5661563600000681415940,5,14,178776.8000,8.414378999999998
1994-08-30 00:00:00,476.07,310172.5661563600000681415940,316369.5661563600000681415940,5,14,182166.8000,9.435923999999998
1994-08-31 00:00:00,475.5,311700.5661563600000681415940,316369.5661563600000681415940,5,14,179544.3000,10.316657
1994-09-01 00:00:00,473.17,312641.6161563600000681415940,316369.5661563600000681415940,5,14,174522.5000,7.976354000000001
1994-09-02 00:00:00,470.99,315240.0161563600000681415940,316369.5661563600000681415940,5,14,168095.0000,6.750304000000001
1994-09-06 00:00:00,471.86,315224.1661563600000681415940,316369.5661563600000681415940,5,14,169686.8000,7.5926290000000005
1994-09-07 00:00:00,470.99,316413.1161563600000681415940,316369.5661563600000681415940,5,14,166956.4500,7.096227
1994-09-08 00:00:00,473.14,314746.2161563600000681415940,316369.5661563600000681415940,5,14,172514.1000,9.099551999999997
1994-09-09 00:00:00,468.18,318396.4458097850000685397309,318176.2458097850000685397309,1,3,31980.1500,0.287385
1994-09-12 00:00:00,466.21,318365.1104097850000686193117,318173.1604097850000686193117,2,5,52006.5000,0.21915099999999998
1994-09-13 00:00:00,467.52,318543.4823097850000687386829,318168.5323097850000687386829,3,8,84545.2000,0.47833199999999987
1994-09-14 00:00:00,468.8,318867.2042097850000688580541,318163.9042097850000688580541,4,11,118078.400,1.0144859999999998
1994-09-15 00:00:00,474.81,318412.6688097850000689376349,318160.8188097850000689376349,5,13,150613.4500,3.5796340000000004
1994-09-16 00:00:00,471.19,318558.2188097850000689376349,318160.8188097850000689376349,5,13,143938.6000,1.9156199999999997
1994-09-19 00:00:00,470.85,318298.3261097850000689774253,318159.2761097850000689774253,6,14,154220.5000,2.118073
1994-09-20 00:00:00,463.36,318971.7334271450000690859528,318665.5334271450000690859528,5,11,111447.0500,-1.400339
1994-09-21 00:00:00,461.46,319756.4553271450000692053240,318660.9053271450000692053240,6,14,142141.5500,-1.6188789999999997
1994-09-22 00:00:00,461.27,319739.4626271450000692451144,318659.3626271450000692451144,7,15,152082.6000,-1.7159249999999997
1994-09-23 00:00:00,459.67,319442.2126271450000692451144,318659.3626271450000692451144,7,15,152713.8000,-2.046224
1994-09-26 00:00:00,460.82,320359.5200164150000693536471,319161.1200164150000693536471,6,12,121360.3000,-1.188423
1994-09-27 00:00:00,462.05,320868.8547495150000696539433,319948.7047495150000696539433,5,10,100815.7000,-0.3682660000000001
1994-09-28 00:00:00,464.81,320831.4317511350000698456822,320331.5817511350000698456822,5,11,113012.8000,0.52312
1994-09-29 00:00:00,462.24,321059.8536511350000699650534,320326.9536511350000699650534,6,14,138561.0500,-0.369734
1994-09-30 00:00:00,462.71,321070.4682511350000700446342,320323.8682511350000700446342,7,16,158877.6000,-0.4197420000000002
1994-10-03 00:00:00,461.74,321271.1182511350000700446342,320323.8682511350000700446342,7,16,157508.4500,-0.5758589999999999
1994-10-04 00:00:00,454.59,319705.3682511350000700446342,320323.8682511350000700446342,7,16,159829.9000,-2.9206169999999996
1994-10-05 00:00:00,453.52,320544.0182511350000700446342,320323.8682511350000700446342,7,16,160410.7000,-3.1108670000000003
1994-10-06 00:00:00,452.36,320131.8682511350000700446342,320323.8682511350000700446342,7,16,162315.3500,-3.514927
1994-10-07 00:00:00,455.1,321689.4682511350000700446342,320323.8682511350000700446342,7,16,157402.5500,-2.659802
1994-10-10 00:00:00,459.04,322799.2244691900000701530827,321172.4244691900000701530827,6,13,124828.6500,-1.416492
1994-10-11 00:00:00,465.79,322992.2569709950000704172179,321853.8569709950000704172179,5,12,126121.3500,1.3545479999999999
1994-10-12 00:00:00,465.47,322800.4288709950000705365891,321849.2288709950000705365891,6,15,156619.2000,1.300503
1994-10-13 00:00:00,467.79,321946.9288709950000705365891,321849.2288709950000705365891,6,15,161813.1000,2.11149
1994-10-14 00:00:00,469.1,321877.1788709950000705365891,321849.2288709950000705365891,6,15,164831.5500,2.832153
1994-10-17 00:00:00,468.96,322533.5788709950000705365891,321849.2288709950000705365891,6,15,163884.7500,2.46438
1994-10-18 00:00:00,467.66,322950.5788709950000705365891,321849.2288709950000705365891,6,15,160922.4000,1.854519
1994-10-19 00:00:00,470.28,321933.7288709950000705365891,321849.2288709950000705365891,6,15,166978.2000,2.9981160000000004
1994-10-20 00:00:00,466.85,322908.4288709950000705365891,321849.2288709950000705365891,6,15,159108.1500,1.4257259999999998
1994-10-21 00:00:00,464.89,323662.1381184950000706812559,322694.7381184950000706812559,4,11,113965.9000,0.9284899999999999
1994-10-24 00:00:00,460.83,324152.7223734700000709815178,323688.6223734700000709815178,3,9,89084.7000,-0.441936
1994-10-25 00:00:00,461.52,324748.2442734700000711008890,323683.9942734700000711008890,4,12,116966.5500,-0.4174320000000001
1994-10-26 00:00:00,462.61,325286.9161734700000712202602,323679.3661734700000712202602,5,15,147881.2500,0.08774700000000007
1994-10-27 00:00:00,465.85,324933.6234734700000712600506,323677.8234734700000712600506,6,16,164523.9000,1.357755
1994-10-28 00:00:00,473.77,321860.6734734700000712600506,323677.8234734700000712600506,6,16,184630.7000,4.9460000000000015
1994-10-31 00:00:00,472.35,324693.3308627400000713685833,324179.4308627400000713685833,5,13,145459.5500,3.222314
1994-11-01 00:00:00,468.42,325723.1881627400000714083737,324177.8881627400000714083737,6,14,147557.4000,1.9804419999999996
1994-11-02 00:00:00,466.51,325982.4531870800000715567208,324724.7531870800000715567208,6,12,120982.3000,0.47590299999999996
1994-11-03 00:00:00,467.91,325960.6750870800000716760920,324720.1250870800000716760920,7,15,153492.0500,0.9656070000000003
1994-11-04 00:00:00,462.28,325868.9750870800000716760920,324720.1250870800000716760920,7,15,144752.9000,-0.77254
1994-11-07 00:00:00,463.06,326129.9823870800000717158824,324718.5823870800000717158824,8,16,155502.2000,-0.11644800000000022
1994-11-08 00:00:00,465.64,326842.0323870800000717158824,324718.5823870800000717158824,8,16,159606.0000,0.5978859999999999
1994-11-09 00:00:00,465.39,327122.0823870800000717158824,324718.5823870800000717158824,8,16,158917.8000,0.4018279999999999
1994-11-10 00:00:00,464.37,327632.7959462100000719328601,326237.4959462100000719328601,6,10,99095.8000,-0.17077600000000004
1994-11-11 00:00:00,462.35,327593.9178462100000720522313,326232.8678462100000720522313,7,13,127668.9500,-0.5940690000000001
1994-11-14 00:00:00,466.04,327267.1897462100000721716025,326228.2397462100000721716025,8,16,163738.0500,0.9972480000000001
1994-11-15 00:00:00,465.03,328633.3481965800000723162120,327250.1981965800000723162120,6,12,120520.5000,0.03649499999999989
1994-11-16 00:00:00,465.6,328743.9700965800000724355832,327245.5700965800000724355832,7,15,149215.1500,0.19780699999999993
1994-11-17 00:00:00,463.56,328881.6847376550000725839028,327797.2347376550000725839028,7,13,126540.7000,-0.223712
1994-11-18 00:00:00,461.46,329063.2089571800000727394412,328009.7589571800000727394412,7,15,143294.0500,-0.837275
1994-11-21 00:00:00,458.3,328667.7735571800000728190220,328006.6735571800000728190220,8,17,164570.9500,-2.2322209999999996
1994-11-22 00:00:00,450.09,324349.0735571800000728190220,328006.6735571800000728190220,8,17,179872.9000,-4.4722669999999995
1994-11-23 00:00:00,449.92,326931.6735571800000728190220,328006.6735571800000728190220,8,17,177580.6500,-4.346849000000001
1994-11-25 00:00:00,452.29,328553.4235571800000728190220,328006.6735571800000728190220,8,17,172968.2000,-3.6689989999999995
1994-11-28 00:00:00,454.15,329830.0389079400000730361284,329215.8389079400000730361284,6,11,108882.5000,-2.191253
1994-11-29 00:00:00,455.16,330420.7630239350000731916594,329434.6130239350000731916594,6,13,125772.9500,-1.5364090000000001
1994-11-30 00:00:00,453.68,330138.1849239350000733110306,329429.9849239350000733110306,7,16,154373.3500,-2.490838
1994-12-01 00:00:00,448.91,328634.6422239350000733508210,329428.4422239350000733508210,8,17,168930.8000,-3.4517910000000005
1994-12-02 00:00:00,453.3,330631.6422239350000733508210,329428.4422239350000733508210,8,17,163495.2500,-2.4999939999999996
1994-12-05 00:00:00,453.32,331321.0448706250000733870117,329642.5948706250000733870117,7,16,152222.0000,-2.174984
1994-12-06 00:00:00,453.11,331354.8021706250000734268021,329641.0521706250000734268021,8,17,161582.5500,-2.2079070000000005
1994-12-07 00:00:00,451.22,331395.6521706250000734268021,329641.0521706250000734268021,8,17,162461.6000,-2.6221889999999997
1994-12-08 00:00:00,445.44,328989.7021706250000734268021,329641.0521706250000734268021,8,17,172098.5500,-4.156258000000001
1994-12-09 00:00:00,446.95,330764.4021706250000734268021,329641.0521706250000734268021,8,17,168414.1000,-3.57643
1994-12-12 00:00:00,449.46,332048.7125251250000736075490,330878.3125251250000736075490,6,12,117855.1500,-2.315604
1994-12-13 00:00:00,450.14,332779.0369042800000737630989,331089.3869042800000737630989,6,14,135971.3500,-1.9957390000000004
