Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta,Wins,Losses,AveragePLPercent
2005-01-04 00:00:00,1188.05,987144.6506820000000175241439,999747.1506820000000175241439,1,71,283290.0,-22.032365000000002,0,0,nan
2005-01-05 00:00:00,1183.75,980068.1051130000000171094143,999540.6051130000000171094143,2,129,435050.0,-40.490757,0,0,nan
2005-01-06 00:00:00,1187.9,990397.0435490000000169352745,999537.0435490000000169352745,3,130,449022.500,-34.569829,0,0,nan
2005-01-07 00:00:00,1186.2,989084.5435490000000169352745,999537.0435490000000169352745,3,130,447710.000,-35.326248,0,0,nan
2005-01-10 00:00:00,1190.25,1003304.543549000000016935274,999537.0435490000000169352745,3,130,461930.00,-29.880530000000004,0,0,nan
2005-01-11 00:00:00,1182.99,994299.5435490000000169352745,999537.0435490000000169352745,3,130,452925.000,-33.781797000000005,0,0,nan
2005-01-12 00:00:00,1187.7,1002332.043549000000016935274,999537.0435490000000169352745,3,130,460957.500,-28.823181999999996,0,0,nan
2005-01-13 00:00:00,1177.45,989304.5435490000000169352745,999537.0435490000000169352745,3,130,447930.00,-36.279954,0,0,nan
2005-01-14 00:00:00,1184.5,1000249.543549000000016935274,999537.0435490000000169352745,3,130,458875.00,-29.162124000000002,0,0,nan
2005-01-18 00:00:00,1196.0,1016665.075301750000011047348,1008677.575301750000011047348,1,71,303880.00,-12.016749999999998,2,0,62.92583857442348008385744235
2005-01-19 00:00:00,1184.65,997126.525687749999991460470,1008439.025687749999991460470,2,138,437675.00,-42.615355,2,0,nan
2005-01-20 00:00:00,1175.4,980922.283715749999990940466,1008424.783715749999990940466,3,142,430625.00,-55.219152,2,0,nan
2005-01-21 00:00:00,1167.85,964084.481378249999990792673,1008406.981378249999990792673,4,147,422955.00,-67.67587,2,0,nan
2005-01-24 00:00:00,1163.75,962742.738998249999990086678,1008392.738998249999990086678,5,151,430727.500,-73.09324800000002,2,0,nan
2005-01-25 00:00:00,1168.4,977867.738998249999990086678,1008392.738998249999990086678,5,151,445852.500,-62.29080199999999,2,0,nan
2005-01-26 00:00:00,1174.05,992595.238998249999990086678,1008392.738998249999990086678,5,151,460580.00,-50.753003,2,0,nan
2005-01-27 00:00:00,1174.55,998824.003758249999989971002,1008856.503758249999989971002,4,147,457245.000,-46.44807199999999,3,0,52.22222222222222222222222222
2005-01-28 00:00:00,1171.35,1001371.503758249999989971002,1008856.503758249999989971002,4,147,459792.500,-49.405896,3,0,nan
2005-01-31 00:00:00,1181.25,1016626.210281999999989643868,1009411.210281999999989643868,3,142,465342.500,-31.866102999999995,4,0,66.17647058823529411764705882
2005-02-01 00:00:00,1189.41,1032086.821219749999985815236,1026391.821219749999985815236,1,67,158790.00,-12.587625,6,0,69.26473159643294282217170835
2005-02-02 00:00:00,1193.19,1034953.219824749999975033176,1033693.219824749999975033176,1,84,306180.00,-22.367772,7,0,53.48837209302325581395348837
2005-02-03 00:00:00,1189.89,1032260.087923749999975875368,1033540.087923749999975875368,2,127,460375.00,-35.90620199999999,7,0,nan
2005-02-04 00:00:00,1203.03,1050176.526563749999975794224,1033536.526563749999975794224,3,128,481920.00,-24.8128,7,0,nan
2005-02-07 00:00:00,1201.72,1048896.526563749999975794224,1033536.526563749999975794224,3,128,480640.00,-25.980672000000002,7,0,nan
2005-02-08 00:00:00,1202.3,1052736.526563749999975794224,1033536.526563749999975794224,3,128,484480.00,-24.503168,7,0,nan
2005-02-09 00:00:00,1191.99,1041536.526563749999975794224,1033536.526563749999975794224,3,128,473280.000,-31.245952000000003,7,0,nan
2005-02-10 00:00:00,1197.01,1049536.526563749999975794224,1033536.526563749999975794224,3,128,481280.00,-25.959808,7,0,nan
2005-02-11 00:00:00,1205.3,1059896.990723749999986136316,1059896.990723749999986136316,0,0,0,0,10,0,57.02207841644461362771221927
2005-02-14 00:00:00,1206.14,1061223.940997749999965105161,1059483.940997749999965105161,1,116,317260.00,-31.552348,10,0,nan
2005-02-15 00:00:00,1210.12,1072327.423529749999957072504,1059277.423529749999957072504,2,174,487200.00,-39.003492,10,0,nan
2005-02-16 00:00:00,1210.34,1071457.423529749999957072504,1059277.423529749999957072504,2,174,486330.00,-37.251486,10,0,nan
2005-02-17 00:00:00,1200.75,1058407.423529749999957072504,1059277.423529749999957072504,2,174,473280.00,-51.339743999999996,10,0,nan
2005-02-18 00:00:00,1201.59,1064518.863444749999957128495,1059273.863444749999957128495,3,175,481240.00,-45.76782299999999,10,0,nan
2005-02-22 00:00:00,1184.16,1010413.863444749999957128495,1059273.863444749999957128495,3,175,427135.00,-83.484228,10,0,nan
2005-02-23 00:00:00,1190.8,1042999.692972749999953396838,1059234.692972749999953396838,4,186,485060.00,-66.295244,10,0,nan
2005-02-24 00:00:00,1200.2,1071967.192972749999953396838,1059234.692972749999953396838,4,186,514027.500,-44.070038,10,0,nan
2005-02-25 00:00:00,1211.37,1087087.263785999999970321994,1087087.263785999999970321994,0,0,0,0,14,0,60.01597687157638466220328665
2005-02-28 00:00:00,1200.2,1077533.877569999999979977190,1086773.877569999999979977190,1,88,313720.00,-29.300216,14,0,nan
2005-03-01 00:00:00,1210.41,1085232.636301999999989043033,1086585.136301999999989043033,2,141,491207.500,-38.51262,14,0,nan
2005-03-02 00:00:00,1210.08,1082630.136301999999989043033,1086585.136301999999989043033,2,141,488605.00,-40.120668,14,0,nan
2005-03-03 00:00:00,1210.47,1080690.136301999999989043033,1086585.136301999999989043033,2,141,486665.00,-39.870624,14,0,nan
2005-03-04 00:00:00,1222.12,1102055.136301999999989043033,1086585.136301999999989043033,2,141,508030.000,-27.772941000000003,14,0,nan
2005-03-07 00:00:00,1225.31,1103202.636301999999989043033,1086585.136301999999989043033,2,141,509177.500,-25.273374,14,0,nan
2005-03-08 00:00:00,1219.43,1099237.636301999999989043033,1086585.136301999999989043033,2,141,505212.500,-28.044758,14,0,nan
2005-03-09 00:00:00,1207.01,1082587.636301999999989043033,1086585.136301999999989043033,2,141,488562.500,-39.430148,14,0,nan
2005-03-10 00:00:00,1209.25,1087300.136301999999989043033,1086585.136301999999989043033,2,141,493275.00,-35.940068,14,0,nan
2005-03-11 00:00:00,1200.08,1076285.136301999999989043033,1086585.136301999999989043033,2,141,482260.00,-44.431347,14,0,nan
2005-03-14 00:00:00,1206.83,1091530.136301999999989043033,1086585.136301999999989043033,2,141,497505.00,-34.990623,14,0,nan
2005-03-15 00:00:00,1197.75,1073687.636301999999989043033,1086585.136301999999989043033,2,141,479662.500,-45.11601,14,0,nan
2005-03-16 00:00:00,1188.07,1054444.075298999999989124632,1086581.575298999999989124632,3,142,463132.500,-58.537064,14,0,nan
2005-03-17 00:00:00,1190.21,1059847.713258999999988763108,1086560.213258999999988763108,4,148,479537.500,-53.85798,14,0,nan
2005-03-18 00:00:00,1189.65,1058632.713258999999988763108,1086560.213258999999988763108,4,148,478322.500,-54.440684000000005,14,0,nan
2005-03-21 00:00:00,1183.78,1050910.213258999999988763108,1086560.213258999999988763108,4,148,470600.00,-60.810964000000006,14,0,nan
2005-03-22 00:00:00,1171.71,1009221.652561999999988540111,1086556.652561999999988540111,5,149,431160.000,-84.068744,14,0,nan
2005-03-23 00:00:00,1172.53,1013421.047886999999988244525,1086521.047886999999988244525,6,159,458020.000,-84.42418,14,0,nan
2005-03-24 00:00:00,1171.42,1019676.047886999999988244525,1086521.047886999999988244525,6,159,464275.000,-82.288437,14,0,nan
2005-03-28 00:00:00,1174.28,1039476.047886999999988244525,1086521.047886999999988244525,6,159,484075.000,-73.71216299999999,14,0,nan
2005-03-29 00:00:00,1165.36,995626.047886999999988244525,1086521.047886999999988244525,6,159,440225.000,-97.262561,14,0,nan
2005-03-30 00:00:00,1181.41,1066612.545872999999988284259,1088557.545872999999988284259,5,144,481080.00,-53.61994,16,0,58.5758513931888544891640867
2005-03-31 00:00:00,1180.59,1063052.545872999999988284259,1088557.545872999999988284259,5,144,477520.000,-56.284202,16,0,nan
2005-04-01 00:00:00,1172.92,1042990.045872999999988284259,1088557.545872999999988284259,5,144,457457.500,-69.46618699999999,16,0,nan
2005-04-04 00:00:00,1176.12,1060363.301452999999988424662,1088543.301452999999988424662,6,148,485865.000,-59.41913100000001,16,0,nan
2005-04-05 00:00:00,1181.39,1086377.683922249999988407510,1088942.683922249999988407510,4,146,503725.00,-42.825835999999995,18,0,55.6472589035614245698279312
