symbol,exchange,company_name,date,stock_price_close,option_symbol,option_expiration,strike,call/put,style,ask,bid,mean_price,settlement,iv,volume,open_interest,stock_price_for_iv,forward_price,isinterpolated,delta,vega,gamma,theta,rho
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00084000,8/8/14,84,P,A,0.01,0,0,0,0.577382,0,3376,94.48,,*,-0.000047,0.00001,0.000068,-0.000277,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00085000,8/8/14,85,C,A,9.55,9.2,9.375,0,0.577382,2,41,94.48,,*,0.999779,0.000041,0.000291,-0.00156,0.002328
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00085000,8/8/14,85,P,A,0.01,0,0,0,0.577382,1070,4881,94.48,,*,-0.000221,0.000041,0.000291,-0.001186,-0.000001
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00086000,8/8/14,86,C,A,8.55,8.2,8.375,0,0.577382,0,1,94.48,,*,0.999117,0.000149,0.001052,-0.004666,0.002354
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00086000,8/8/14,86,P,A,0.02,0,0,0,0.577382,68,7085,94.48,,*,-0.000883,0.000149,0.001052,-0.004288,-0.000002
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00087000,8/8/14,87,C,A,7.55,7.2,7.375,0,0.577382,0,6,94.48,,*,0.996969,0.000457,0.003234,-0.013564,0.002376
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00087000,8/8/14,87,P,A,0.02,0.01,0.015,0,0.577382,1145,7984,94.48,,*,-0.003031,0.000457,0.003234,-0.013181,-0.000008
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00088000,8/8/14,88,C,A,6.55,6.3,6.425,0,0.577382,3,44,94.48,,*,0.991016,0.0012,0.008499,-0.035031,0.002387
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00088000,8/8/14,88,P,A,0.02,0.01,0.015,0,0.577382,632,7331,94.48,,*,-0.008984,0.0012,0.008499,-0.034644,-0.000023
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00089000,8/8/14,89,C,A,5.55,5.3,5.425,0,0.577382,0,44,94.48,,*,0.976836,0.002711,0.019199,-0.078644,0.002378
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00089000,8/8/14,89,P,A,0.03,0.02,0.025,0,0.577382,2832,6379,94.48,,,-0.023164,0.002711,0.019199,-0.078252,-0.000061
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00090000,8/8/14,90,C,A,4.55,4.35,4.45,0,0.496874,292,560,94.48,,*,0.970016,0.003363,0.027678,-0.083942,0.002387
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00090000,8/8/14,90,P,A,0.04,0.02,0.03,0,0.496874,11439,16134,94.48,,*,-0.029984,0.003363,0.027678,-0.083545,-0.000078
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00091000,8/8/14,91,C,A,3.55,3.3,3.425,0,0.416365,261,450,94.48,,*,0.958462,0.004394,0.043152,-0.09186,0.002385
