Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta,Wins,Losses
2008-04-07 00:00:00,1372.54,1369190.895948999999832684789,1343390.895948999999832684789,2,44,491420.000,-2.131226,90,14
2008-04-08 00:00:00,1365.54,1369353.395948999999832684789,1343390.895948999999832684789,2,44,491582.500,-2.007137,90,14
2008-04-09 00:00:00,1354.49,1368293.395948999999832684789,1343390.895948999999832684789,2,44,490522.500,-2.187133,90,14
2008-04-10 00:00:00,1360.55,1370163.395948999999832684789,1343390.895948999999832684789,2,44,492392.500,-1.96372,90,14
2008-04-11 00:00:00,1332.83,1364610.895948999999832684789,1343390.895948999999832684789,2,44,486840.000,-2.989105,90,14
2008-04-14 00:00:00,1328.32,1364558.395948999999832684789,1343390.895948999999832684789,2,44,486787.500,-2.962502,90,14
2008-04-15 00:00:00,1334.43,1367980.895948999999832684789,1343390.895948999999832684789,2,44,490210.00,-2.2600070000000003,90,14
2008-04-16 00:00:00,1364.71,1373575.895948999999832684789,1343390.895948999999832684789,2,44,495805.000,-1.1238679999999999,90,14
2008-04-17 00:00:00,1365.56,1373215.895948999999832684789,1343390.895948999999832684789,2,44,495445.00,-1.20671,90,14
2008-04-18 00:00:00,1390.33,1373783.395948999999832684789,1343390.895948999999832684789,2,44,496012.500,-1.083841,90,14
2008-04-21 00:00:00,1388.17,1374575.895948999999832684789,1343390.895948999999832684789,2,44,496805.000,-0.867481,90,14
2008-04-22 00:00:00,1375.94,1375068.395948999999832684789,1343390.895948999999832684789,2,44,497297.500,-0.7439370000000001,90,14
2008-04-23 00:00:00,1379.93,1375253.395948999999832684789,1343390.895948999999832684789,2,44,497482.500,-0.6995859999999999,90,14
2008-04-24 00:00:00,1388.82,1375300.895948999999832684789,1343390.895948999999832684789,2,44,497530.000,-0.589668,90,14
2008-04-25 00:00:00,1397.84,1375509.828504999999829072618,1375509.828504999999829072618,0,0,0,0,92,14
2008-04-28 00:00:00,1396.37,1377418.390712499999828599681,1375370.890712499999828599681,1,39,406575.00,-5.568459,92,14
2008-04-29 00:00:00,1390.94,1373880.954587999999826797290,1375345.954587999999826797290,2,46,472362.500,-7.522009000000001,92,14
2008-04-30 00:00:00,1385.59,1370988.454587999999826797290,1375345.954587999999826797290,2,46,469470.00,-8.151453,92,14
2008-05-01 00:00:00,1409.34,1383938.454587999999826797290,1375345.954587999999826797290,2,46,482420.00,-5.279939,92,14
2008-05-02 00:00:00,1413.9,1387530.954587999999826797290,1375345.954587999999826797290,2,46,486012.500,-4.691965,92,14
2008-05-05 00:00:00,1407.49,1386353.454587999999826797290,1375345.954587999999826797290,2,46,484835.000,-4.9935149999999995,92,14
2008-05-06 00:00:00,1418.26,1390865.954587999999826797290,1375345.954587999999826797290,2,46,489347.500,-3.803022,92,14
2008-05-07 00:00:00,1392.57,1382063.454587999999826797290,1375345.954587999999826797290,2,46,480545.00,-5.915494,92,14
2008-05-08 00:00:00,1397.68,1382338.454587999999826797290,1375345.954587999999826797290,2,46,480820.000,-5.8707530000000006,92,14
2008-05-09 00:00:00,1388.28,1383028.454587999999826797290,1375345.954587999999826797290,2,46,481510.000,-5.9020030000000006,92,14
2008-05-12 00:00:00,1403.58,1390210.954587999999826797290,1375345.954587999999826797290,2,46,488692.500,-4.223687,92,14
